GLOBALEVENTID,SQLDATE,ActionGeo_FullName,EventCode,GoldsteinScale,NumArticles,AvgTone,SOURCEURL,City,Date
1299988855.0,20260419.0,"Warsaw, (PL67), Poland",173.0,-5.0,2,0.10245901639344,,Warsaw,
1299990221.0,20260419.0,"Warsaw, (PL67), Poland",42.0,1.9,5,-0.0851063829787204,,Warsaw,
1299917980.0,20260419.0,"Warsaw, (PL67), Poland",13.0,0.4,10,-5.63380281690141,,Warsaw,
1299919769.0,20260419.0,"Warsaw, (PL67), Poland",14.0,0.0,2,-5.01392757660167,,Warsaw,
1299920181.0,20260419.0,"Warsaw, (PL67), Poland",10.0,0.0,4,-5.01392757660167,,Warsaw,
1299961804.0,20260419.0,"Warsaw, (PL67), Poland",17.0,0.0,6,-5.69374157128864,,Warsaw,
1300163747.0,20260419.0,"Warsaw, (PL67), Poland",43.0,2.8,7,-4.60652591170826,,Warsaw,
1299838281.0,20260418.0,"Warsaw, (PL67), Poland",36.0,4.0,10,5.4054054054054,,Warsaw,
1299863581.0,20260418.0,"Warsaw, (PL67), Poland",40.0,1.0,2,-0.71022727272727,,Warsaw,
1299847661.0,20260418.0,"Warsaw, (PL67), Poland",40.0,1.0,2,-1.16896918172157,,Warsaw,
1299857294.0,20260418.0,"Warsaw, (PL67), Poland",40.0,1.0,6,11.4457831325301,,Warsaw,
1299847664.0,20260418.0,"Warsaw, (PL67), Poland",50.0,3.5,6,-1.16896918172157,,Warsaw,
1299847663.0,20260418.0,"Warsaw, (PL67), Poland",46.0,7.0,6,-1.16896918172157,,Warsaw,
1299812191.0,20260418.0,"Warsaw, (PL67), Poland",55.0,7.0,7,-7.52089136490251,,Warsaw,
1299847607.0,20260418.0,"Warsaw, (PL67), Poland",13.0,0.4,5,-1.16896918172157,,Warsaw,
1299857362.0,20260418.0,"Warsaw, (PL67), Poland",51.0,3.4,5,0.49751243781095,,Warsaw,
1299889110.0,20260418.0,"Warsaw, (PL67), Poland",40.0,1.0,1,-8.02005012531328,,Warsaw,
1299803350.0,20260418.0,"Warsaw, (PL67), Poland",42.0,1.9,10,2.73972602739726,,Warsaw,
1299812082.0,20260418.0,"Warsaw, (PL67), Poland",10.0,0.0,2,-7.52089136490251,,Warsaw,
